53687	1616325p	216.971510765	-13.7171327365	191945.078125	18.7400575491	364.813216004	371.649086538	17	56389.4212707	yes	yes
53687	1616339p	216.96027462	-13.715300276	204474.53125	18.7334019468	375.448831254	370.524676073	12	56389.4799133	no	yes
53687	1616340p	216.959305278	-13.7151422364	208271.28125	18.7084265281	377.303902403	370.52453064	12	56389.4849078	no	yes
53687	1616563p	216.763120782	-13.680555782	236801.734375	18.5850378027	391.784060533	370.567908966	11	56390.5444174	yes	yes
53687	1616712p	216.584675224	-13.6484189492	169435.328125	18.6834900799	382.70825972	370.946093529	13	56391.4870713	no	yes
53687	1722359p	14.301219425	3.01222083326	36629.9960938	20.4504078191	350.93803255	395.019350647	6	56833.5715969	yes	yes
53687	1729022p	21.3872150082	5.84288252175	69853.0234375	19.7295369791	88.2487705616	395.492501485	6	56862.5828707	yes	yes
53687	1736290p	24.0861838659	6.95684572076	144205.9375	19.0225421443	444.234635863	390.101277632	2	56897.4370689	yes	yes
53687	1751794p	14.0905887585	4.03220953464	233822.953125	18.8437821469	413.493800175	386.165717363	4	56953.3822657	yes	yes
53687	1752057p	13.7093299214	3.93204666313	303249.28125	18.6465005495	393.073340861	387.210294765	3	56955.2526387	yes	yes
53687	1752076p	13.6903865169	3.92736799054	199213.75	19.1397017232	408.614718673	388.207313887	5	56955.3434471	yes	yes
53687	1752078p	13.6881487489	3.92681463113	198947.75	19.1381524204	410.189554748	387.671404591	6	56955.354215	yes	yes
53687	1752107p	13.6672042453	3.92162866988	251125.6875	18.8632721532	426.645526202	387.397811137	4	56955.4545639	yes	yes
53687	1752336p	13.3189213281	3.83243099121	257608.34375	18.7636001865	400.096154609	396.104665841	4	56957.2426623	yes	yes
53687	1752340p	13.3154944667	3.83160657745	195155.03125	18.6870506195	117.32533596	388.316306963	2	56957.2605439	yes	yes
53687	1752352p	13.3073500797	3.82965441364	303331.40625	18.6052065537	410.158632157	394.11694775	5	56957.3008594	yes	yes
53687	1769005p	11.4112478654	4.47828725591	30278.3359375	20.1131699921	349.32588735	391.843056117	7	57008.3455782	yes	yes
