    Object      Image   Exp_time               RA              DEC             time       filter
8943 1722734p 287 16.4160673082 5.76102471032 56835.5900355 r.MP9601
8943 1722897p 287 16.6681105315 5.83038743173 56836.5951006 r.MP9601
10928 1611938p 287 217.172187023 -12.6485718347 56358.5706975 r.MP9601
10928 1611939p 287 217.171845734 -12.6485686964 56358.5763465 r.MP9601
10928 1611950p 287 217.169046249 -12.648542954 56358.6226828 r.MP9601
10928 1615934p 287 213.534357368 -12.0874901104 56386.5265835 r.MP9601
10928 1616101p 287 213.331837447 -12.0477438796 56387.5891326 r.MP9601
10928 1616103p 287 213.330264051 -12.0474344337 56387.5973238 r.MP9601
10928 1616104p 287 213.329519214 -12.0472879437 56387.6012015 r.MP9601
10928 1616105p 287 213.328773596 -12.0471413002 56387.6050832 r.MP9601
10928 1616199p 287 213.134809732 -12.0086176956 56388.6069735 r.MP9601
10928 1616500p 287 212.779271481 -11.9374632381 56390.4078093 r.MP9601
17266 1728431p 287 236.499744663 -10.8892580508 56856.3371618 r.MP9601
18963 1728791p 287 15.2168140091 4.64701120666 56861.5519312 r.MP9601
18963 1729702p 287 15.5286233465 4.62455861426 56865.531114 r.MP9601
22967 1657931p 287 16.7145460958 3.85311028377 56571.4168923 r.MP9601
27787 1698707p 387 237.138993463 -10.8665434289 56751.4995887 r.MP9601
27787 1698715p 387 237.135522066 -10.8649968227 56751.5402295 r.MP9601
27787 1698718p 387 237.133929928 -10.8642874799 56751.5588691 r.MP9601
28594 1728412p 287 211.065287848 -10.7677465622 56856.2797859 r.MP9601
28594 1728421p 287 211.073268579 -10.7732235344 56856.3173423 r.MP9601
28699 1692659p 387 238.872785519 -13.7462147327 56722.5811289 r.MP9601
30223 1698707p 387 236.90812757 -10.7389261318 56751.4995887 r.MP9601
30223 1698715p 387 236.907873566 -10.7352458864 56751.5402295 r.MP9601
30223 1698718p 387 236.907757068 -10.7335579612 56751.5588691 r.MP9601
32529 1691676p 287 217.876994298 -12.4386829799 56712.5778631 r.MP9601
33633 1645491p 287 244.919780315 -14.6895786704 56508.3007705 r.MP9601
36185 1667561p 287 22.2534984608 12.5683573951 56595.4038982 r.MP9601
36185 1667588p 287 22.236656647 12.5643599218 56595.4825371 r.MP9601
36185 1667907p 387 21.8147703254 12.4632190941 56597.4800626 r.MP9601
36185 1681846p 387 18.6755806401 12.0360894451 56656.3168982 r.MP9601
48401 1705568p 287 243.558198563 -12.1699904085 56781.4233798 r.MP9601
48401 1705581p 287 243.549096216 -12.1666129403 56781.4738316 r.MP9601
48401 1705594p 287 243.539783433 -12.1631573886 56781.5254498 r.MP9601
48401 1717288p 287 237.711080355 -10.4846239761 56810.4532921 r.MP9601
48401 1717289p 287 237.710315542 -10.4844590481 56810.4571727 r.MP9601
55688 1715886p 287 244.585913685 -13.5251506604 56802.4637032 r.MP9601
55688 1715888p 287 244.584009963 -13.5243669922 56802.4725749 r.MP9601
63033 1752346p 287 12.4722353703 3.12278328831 56957.2855372 r.MP9601
64568 1645491p 287 245.259145226 -13.747774185 56508.3007705 r.MP9601
64568 1646367p 287 245.447576848 -13.914603902 56513.2779222 r.MP9601
81462 1691929p 387 241.122765664 -13.7601944617 56713.6403834 r.MP9601
81462 1692667p 387 243.652876214 -13.5466416102 56722.6214673 r.MP9601
81462 1692841p 387 243.905328884 -13.5139123555 56723.5960929 r.MP9601
81982 1607611p 287 211.113827172 -10.6336153565 56331.5564046 r.MP9601
81982 1607622p 287 211.120689121 -10.6338512974 56331.6035928 r.MP9601
85404 1728442p 287 241.860450003 -14.7639937583 56856.3811235 r.MP9601
85404 1729358p 287 241.76218758 -14.7696964697 56864.2928626 r.MP9601
93466 1778893p 287 22.4062634976 12.3603948096 57050.2437764 r.MP9601
97421 1778494p 387 215.920634122 -14.672197489 57048.6225432 r.MP9601
104968 1691688p 387 238.80847595 -11.0778181442 56712.6265137 r.MP9601
104968 1715402p 287 238.367826158 -11.0974678019 56799.4856934 r.MP9601
104968 1715405p 287 238.364929249 -11.0977447123 56799.4984739 r.MP9601
104968 1715695p 287 237.918410598 -11.1437196092 56801.4710066 r.MP9601
104968 1721594p 287 232.858727554 -12.5845670185 56830.3176255 r.MP9601
104968 1721605p 287 232.854620253 -12.5877695223 56830.3604843 r.MP9601
118119 1645489p 287 243.445476875 -12.6614463832 56508.2929683 r.MP9601
118119 1645961p 287 243.564783696 -12.7702421828 56511.2837362 r.MP9601
118119 1645962p 287 243.565011243 -12.7704183068 56511.2883643 r.MP9601
118119 1645963p 287 243.565275525 -12.7706228642 56511.2937395 r.MP9601
118119 1645964p 287 243.565540127 -12.7708276688 56511.2991212 r.MP9601
118119 1646362p 287 243.669457493 -12.8469323386 56513.2584365 r.MP9601
118784 1722732p 287 16.9651408908 3.80421986023 56835.5822479 r.MP9601
118784 1729022p 287 21.8756489271 6.07702435415 56862.584532 r.MP9601
118784 1751791p 287 14.1009530895 5.75735694554 56953.3718092 r.MP9601
122933 1742013p 287 22.1859817166 14.3475057902 56923.4688936 r.MP9601
123042 1774680p 387 13.221544191 5.75018942293 57039.2742714 r.MP9601
126401 1774675p 387 13.1955560472 1.75378271881 57039.2487676 r.MP9601
134200 1778497p 387 215.320237929 -11.3249783349 57048.6378056 r.MP9601
135059 1691931p 387 242.538309379 -12.7074773401 56713.6518574 r.MP9601
135059 1728594p 287 229.362503001 -10.8843449277 56857.2860573 r.MP9601
138502 1691673p 287 213.622170088 -13.2480160338 56712.5662232 r.MP9601
138502 1691906p 287 213.702672318 -13.2317143328 56713.5358216 r.MP9601
138502 1692180p 287 213.85808771 -13.1872309257 56715.6466902 r.MP9601
138502 1698185p 287 213.262398267 -11.4586096175 56743.424596 r.MP9601
138502 1698186p 287 213.261882543 -11.4581398232 56743.4293202 r.MP9601
138502 1698192p 287 213.25970115 -11.4561527011 56743.4493024 r.MP9601
138502 1698314p 287 213.150613258 -11.3579782182 56744.4258267 r.MP9601
138502 1698324p 287 213.146092912 -11.3539710518 56744.4651341 r.MP9601
139751 1692343p 387 243.350747244 -11.8635402627 56716.5627527 r.MP9601
139751 1728604p 287 231.618822667 -11.1601832896 56857.32576 r.MP9601
