    Object      Image   Exp_time               RA              DEC             time       filter
81750 1716498p 287 229.946052954 -12.9861843179 56806.3703507 r.MP9601
81750 1716508p 287 229.938996675 -12.9838322251 56806.4091926 r.MP9601
81750 1716518p 287 229.931940795 -12.981480265 56806.4480323 r.MP9601
81750 1716737p 287 229.746631605 -12.9199096803 56807.4779488 r.MP9601
81750 1716956p 287 229.585242306 -12.8667141049 56808.3942889 r.MP9601
81750 1728595p 287 228.365411672 -12.8815413415 56857.289994 r.MP9601
81750 1728599p 287 228.367640323 -12.8824166423 56857.3061534 r.MP9601
126712 1752119p 387 27.1739062946 16.0533934427 56955.517628 r.MP9601
126712 1757091p 387 22.3241072649 14.3437817867 56980.222975 r.MP9601
126712 1757114p 387 22.3054199282 14.3357597252 56980.3560599 r.MP9601
126712 1757539p 287 22.053872477 14.2264976124 56982.2068378 r.MP9601
126712 1757580p 287 22.033015564 14.2171977767 56982.3693592 r.MP9601
126712 1778102p 387 27.1127350399 15.0828725768 57046.2980257 r.MP9601
126712 1778103p 387 27.1142897271 15.0833411354 57046.3039862 r.MP9601
126712 1778113p 387 27.1296576196 15.0879727792 57046.3629046 r.MP9601
126945 1658292p 287 16.7933430399 6.04600138674 56574.5544093 r.MP9601
150031 1729272p 287 23.3374656661 12.4536554543 56863.5820727 r.MP9601
150031 1735254p 287 26.6793611666 13.6979919769 56893.4616377 r.MP9601
150031 1735270p 287 26.6809988462 13.698383372 56893.5357968 r.MP9601
150031 1736562p 287 26.6939375146 13.6817592685 56899.4416658 r.MP9601
150031 1736591p 287 26.692070643 13.6805739532 56899.5483442 r.MP9601
150031 1741572p 287 25.205664945 12.9823816209 56918.4552274 r.MP9601
150031 1741583p 287 25.1998619997 12.9797115541 56918.4979485 r.MP9601
150031 1742017p 287 24.4566797288 12.6375461065 56923.4844553 r.MP9601
153976 1757556p 287 25.2682020671 15.5538811587 56982.278338 r.MP9601
153976 1757596p 287 25.2446560706 15.5431862738 56982.4335863 r.MP9601
153976 1778102p 387 27.5262994912 15.1335547903 57046.2980257 r.MP9601
153976 1778103p 387 27.5275338036 15.1338925499 57046.3039862 r.MP9601
153976 1778113p 387 27.5397348301 15.1372312613 57046.3629046 r.MP9601
154078 1752341p 287 12.754707096 5.10999705153 56957.2661129 r.MP9601
154078 1752650p 387 12.4135826113 4.9227286803 56959.2680144 r.MP9601
154078 1752661p 387 12.4053412511 4.91817551909 56959.3178363 r.MP9601
154078 1769007p 287 10.9119665107 3.4705387185 57008.3551066 r.MP9601
154078 1774990p 387 17.0412736759 5.7292897078 57040.2253304 r.MP9601
184875 1722515p 287 15.5156656371 3.29847327119 56834.6072198 r.MP9601
218995 1615936p 287 214.913532486 -14.0226733709 56386.5347254 r.MP9601
218995 1616318p 287 214.447977462 -13.8001073667 56389.3952189 r.MP9601
218995 1616329p 287 214.440546822 -13.7965776606 56389.4390359 r.MP9601
218995 1616502p 287 214.27317252 -13.7170859128 56390.4157936 r.MP9601
218995 1645693p 287 213.676131437 -11.5961738051 56509.2632026 r.MP9601
265711 1778899p 287 23.7438906234 13.2001743198 57050.2674944 r.MP9601
313216 1723393p 287 239.774362675 -13.5471059458 56839.3871415 r.MP9601
313216 1728437p 287 238.47180535 -13.847700868 56856.3611193 r.MP9601
363395 1616513p 287 217.392228906 -12.292454706 56390.4596373 r.MP9601
363395 1616524p 287 217.383508031 -12.2905001345 56390.5044555 r.MP9601
363395 1616526p 287 217.381720514 -12.2900995062 56390.5136419 r.MP9601
363395 1616564p 287 217.374647357 -12.2885142305 56390.5499922 r.MP9601
363395 1616565p 287 217.373658279 -12.2882925527 56390.5550752 r.MP9601
363395 1616691p 287 217.206764302 -12.2508523345 56391.4058225 r.MP9601
