    Object      Image   Exp_time               RA              DEC             time       filter
3395 1667593p 287 24.4249838389 13.0991803667 56595.502021 r.MP9601
3395 1667912p 387 24.0013654692 12.9750806768 56597.5054241 r.MP9601
3395 1671671p 387 20.0561072269 11.724329311 56623.3715763 r.MP9601
3395 1672400p 287 19.6484142842 11.5852061975 56630.35483 r.MP9601
3395 1681683p 387 20.7113659218 11.9767288445 56655.2917667 r.MP9601
3395 1681943p 287 21.2109280921 12.1592614432 56659.2259082 r.MP9601
3395 1681955p 287 21.2174737639 12.1616595571 56659.2730842 r.MP9601
3395 1681971p 387 21.2284394898 12.1656770303 56659.3521164 r.MP9601
3395 1682232p 387 21.3516282407 12.2108353283 56660.2316167 r.MP9601
4917 1751788p 287 16.4184366665 4.54918365285 56953.3601644 r.MP9601
4917 1751790p 287 16.4170198224 4.54841161303 56953.3679279 r.MP9601
4917 1752062p 387 16.0726652447 4.36090742227 56955.2803863 r.MP9601
4917 1752075p 387 16.0623916965 4.35532133221 56955.338676 r.MP9601
4917 1752354p 387 15.7204428357 4.16960269265 56957.3134252 r.MP9601
4917 1752365p 387 15.7118520026 4.16493606727 56957.3643338 r.MP9601
4917 1752375p 287 15.704717803 4.16106069958 56957.4066106 r.MP9601
4917 1768984p 287 14.5954173652 3.23954974765 57008.2469563 r.MP9601
7684 1651341p 287 25.8960881019 13.0874250836 56537.4407924 r.MP9601
7684 1651352p 287 25.8936272439 13.0875807583 56537.4839023 r.MP9601
7684 1651496p 287 25.8354246738 13.0900831554 56538.4598719 r.MP9601
7684 1651508p 287 25.8325124397 13.0901478717 56538.5064676 r.MP9601
7684 1657411p 287 21.5716971557 12.1507832149 56568.4916533 r.MP9601
7684 1657501p 287 21.348017602 12.083718177 56569.5857155 r.MP9601
7684 1658261p 287 20.3371638183 11.7696794549 56574.4047101 r.MP9601
7684 1658261p 287 20.3371638183 11.7696794549 56574.4047101 r.MP9601
11969 1646291p 287 20.2497759533 11.6339345062 56512.5673114 r.MP9601
11969 1646303p 287 20.2538427988 11.636686405 56512.6161136 r.MP9601
11969 1651193p 287 20.5754775971 12.3332058955 56536.5412237 r.MP9601
11969 1651203p 287 20.5731780111 12.3332166917 56536.58009 r.MP9601
11969 1651363p 287 20.5137612796 12.3318653056 56537.52849 r.MP9601
11969 1651375p 287 20.5105172134 12.3317275533 56537.5780808 r.MP9601
12587 1671730p 387 23.2589485254 14.4676445197 56624.286966 r.MP9601
12587 1672410p 287 22.8898079554 14.2402829273 56630.3943253 r.MP9601
12587 1672607p 387 22.8564376801 14.2138336668 56631.289097 r.MP9601
12587 1681858p 387 24.0066538474 14.2093170059 56656.3792043 r.MP9601
12587 1681859p 387 24.0073825826 14.209482856 56656.3852352 r.MP9601
12587 1681940p 387 24.3687307147 14.2945658871 56659.2102247 r.MP9601
12587 1681953p 287 24.3762533731 14.2964159719 56659.2652686 r.MP9601
16042 1722364p 287 14.0987746824 5.34614010391 56833.5927872 r.MP9601
16042 1722508p 287 14.3790768974 5.4398895286 56834.5799478 r.MP9601
16042 1751771p 287 15.9608685105 2.41022012905 56953.2916642 r.MP9601
17522 1757441p 387 24.4495081464 13.3510922204 56981.2134853 r.MP9601
17522 1757463p 387 24.4313630885 13.3404783371 56981.3539632 r.MP9601
17522 1757550p 287 24.3169090805 13.2731598866 56982.2514129 r.MP9601
17522 1757592p 287 24.2963815293 13.2609080824 56982.4178525 r.MP9601
18277 1751789p 287 17.3742030647 4.29751242583 56953.3640456 r.MP9601
18657 1757442p 387 24.3166956665 14.2782531326 56981.2185325 r.MP9601
18657 1757464p 387 24.2979656811 14.2683808694 56981.3590074 r.MP9601
18657 1757551p 287 24.1797363707 14.2057459306 56982.255301 r.MP9601
18657 1757593p 287 24.1583775431 14.1942805859 56982.4217334 r.MP9601
18657 1778101p 387 27.5512205638 14.0284764379 57046.2929294 r.MP9601
18657 1778111p 387 27.5630001727 14.0317420721 57046.3489117 r.MP9601
18657 1778112p 387 27.564850883 14.0322551403 57046.3577072 r.MP9601
31701 1729258p 287 22.2299394941 11.2664037869 56863.5246828 r.MP9601
31701 1729268p 287 22.2364979826 11.2689994947 56863.5662141 r.MP9601
31701 1729278p 287 22.2430754598 11.2716027179 56863.6078657 r.MP9601
34253 1722508p 287 14.4261512231 5.53532622783 56834.5799478 r.MP9601
34253 1778900p 287 23.6735755954 12.4632334585 57050.2714228 r.MP9601
34310 1645487p 287 219.371113241 -14.2106159649 56508.2839336 r.MP9601
34310 1646360p 287 220.295451061 -14.6048059003 56513.2501749 r.MP9601
36911 1722364p 287 13.6819705864 4.39558454835 56833.5927872 r.MP9601
36911 1722511p 287 13.9730733985 4.49076409585 56834.5916444 r.MP9601
36911 1734912p 287 24.209262641 6.68189612405 56891.5759797 r.MP9601
36911 1734916p 387 24.210026982 6.68126849446 56891.5983507 r.MP9601
36911 1736290p 287 24.2973386241 6.4723772463 56897.4387302 r.MP9601
37082 1757445p 387 25.6497042922 14.7394490907 56981.2337528 r.MP9601
37082 1757467p 387 25.6297528161 14.7286054732 56981.3741737 r.MP9601
37082 1757556p 287 25.5027938041 14.6590931619 56982.278338 r.MP9601
37082 1757596p 287 25.4815765325 14.6472770391 56982.4335863 r.MP9601
38385 1645237p 287 15.2662639585 4.06901741746 56506.5124324 r.MP9601
38385 1645248p 287 15.27060897 4.06898180261 56506.5551702 r.MP9601
40860 1667592p 287 23.1564186107 14.3869802561 56595.4981113 r.MP9601
40860 1667911p 387 22.762222368 14.2023282253 56597.5003577 r.MP9601
