    Object      Image   Exp_time               RA              DEC             time       filter
26752 1775271p 387 19.652889451 11.4172042416 57041.2580631 r.MP9601
26752 1775280p 387 19.6634376652 11.4190837416 57041.3040916 r.MP9601
26752 1778894p 287 21.8296336464 11.8427956143 57050.2477537 r.MP9601
106553 1698694p 287 213.17720658 -11.5982387047 56751.4468133 r.MP9601
106553 1698704p 287 213.169941117 -11.5976857776 56751.486624 r.MP9601
106553 1698859p 387 212.96971885 -11.5819373052 56752.57455 r.MP9601
116424 1658292p 287 16.6756487803 6.37109077473 56574.5544093 r.MP9601
286843 1722730p 287 16.0018398323 4.90042652356 56835.5744885 r.MP9601
286843 1722896p 287 16.2354059721 4.94870016624 56836.591194 r.MP9601
286843 1729022p 287 21.102321587 5.54210281895 56862.584532 r.MP9601
311442 1715411p 287 243.147087302 -12.551726678 56799.5219089 r.MP9601
311442 1715890p 287 242.584050062 -12.3387097514 56802.4809604 r.MP9601
311442 1723387p 287 237.017528433 -10.6986853832 56839.3637526 r.MP9601
311442 1728431p 287 236.343764357 -10.721817749 56856.3371618 r.MP9601
326879 1751774p 287 12.1382047859 4.89462368692 56953.3033081 r.MP9601
361533 1616721p 287 237.200775343 -10.8667613014 56391.5355311 r.MP9601
361533 1616917p 287 237.111647463 -10.7855826388 56392.5046287 r.MP9601
361533 1616927p 287 237.107854387 -10.7821923673 56392.5449092 r.MP9601
364541 1644978p 287 239.735982241 -12.828069687 56505.2510632 r.MP9601
364541 1645007p 287 239.738579226 -12.8329208207 56505.3127737 r.MP9601
364541 1645173p 287 239.781570673 -12.9106861107 56506.2988461 r.MP9601
364541 1645699p 287 239.94060353 -13.1500887254 56509.2887651 r.MP9601
364547 1645185p 287 243.441199761 -13.8412223348 56506.3464358 r.MP9601
364547 1645960p 287 243.740638972 -13.9305524402 56511.2798505 r.MP9601
391018 1698320p 287 216.69742792 -12.5309329925 56744.4494839 r.MP9601
391018 1698321p 287 216.696870118 -12.5309145617 56744.4533869 r.MP9601
391018 1698330p 287 216.691840343 -12.530748369 56744.4885807 r.MP9601
391018 1698331p 287 216.691283638 -12.5307299744 56744.492476 r.MP9601
391018 1698332p 287 216.690500585 -12.530704101 56744.4979551 r.MP9601
391018 1698831p 387 215.422534765 -12.460676595 56752.4125391 r.MP9601
391018 1698832p 387 215.421639634 -12.4606132603 56752.4176058 r.MP9601
