Object	Image	Exp_time	RA	DEC	time	filter
261600	1757438p	387	23.2292907789	13.0219020447	56981.1981961	r.MP9601
261600	1757460p	387	23.213120889	13.0122157338	56981.3388039	r.MP9601
261600	1757547p	287	23.1110287793	12.9506279757	56982.2395821	r.MP9601
261600	1757589p	287	23.0929575014	12.9395036386	56982.4057548	r.MP9601
261621	1626155p	287	212.260091991	-13.0811771061	56423.4378655	r.MP9601
261621	1626291p	287	212.085555624	-13.0246007861	56424.4356511	r.MP9601
261631	1729257p	287	23.0868778444	13.6034496142	56863.5207224	r.MP9601
261631	1729267p	287	23.0923054602	13.6075750632	56863.5622073	r.MP9601
261631	1729277p	287	23.0977610062	13.6117217414	56863.6039058	r.MP9601
