eccentricity inclination objectname semimajor_axis
0.12268050000000001 5.68044313676 364710 2.3401631000000003
0.1045731 9.27238123435 110005 2.6729866
0.2242853 1.85325718816 145754 2.4814492
0.1601497 7.15169755386 244336 3.0230074
0.0651107 3.27284716702 110553 2.6646186000000003
0.18469649999999999 7.973055963689999 35230 2.3115345
0.09075219999999999 7.156727174149999 221541 2.2967293
0.036622 9.5338750641 73460 3.1074857999999996
0.1610726 3.69599767796 244338 2.5294039
0.21431279999999997 3.8133564432599996 286769 2.3762429
0.1481254 3.47809305964 186099 2.5227812000000003
0.15315150000000002 6.597984128689999 370922 2.4266047000000004
0.10330940000000001 11.4942504873 101764 3.2330196
0.0943971 6.3469812657 185107 2.4755808
0.1949894 6.98606840375 126875 2.9018479999999998
0.15174029999999997 8.720483407060001 11544 2.3744978
0.0769005 1.6613520328100002 185109 2.549553
0.2083034 6.03584333684 370259 2.3551662999999996
0.0867622 5.82463220155 330108 2.6166227
0.12927239999999998 4.70978996523 114077 2.4107291
0.15567479999999997 2.58374642867 258392 2.7111607
0.0715454 2.91930835523 55292 2.7073602
0.1955594 12.3773549761 247015 3.1416883999999996
0.091558 3.1663667645099998 55297 2.6455286
0.0813008 2.18379583596 55295 2.6189923
0.12363479999999999 4.476362004509999 377658 2.5472158
0.1471489 2.75689327685 220761 3.0408237000000002
0.077101 8.29378128854 5986 2.3706494
0.1294164 5.25258810337 5987 2.4326828999999996
0.12969429999999998 4.16503109316 327803 2.3884117999999996
0.18928889999999998 4.08615386127 19390 2.3800417
0.072506 4.01767466074 352336 2.6749042000000003
0.0938923 6.634956974830001 239286 2.4254225
0.2626005 3.78457655917 82449 2.4600664
0.133213 4.88111398307 131594 2.2331956
0.13022650000000002 6.29433299686 131593 2.3732961
0.2009477 16.1432247643 318732 2.7450187
0.0996066 2.22357133512 61170 2.7354025
0.08659910000000001 2.00372095595 82193 2.196966
0.2544553 4.805672528540001 82192 2.5324542
0.2526815 5.49263499896 103545 2.5902032999999998
0.13787639999999998 3.96039481025 131599 2.2716289
0.1149784 6.922760621489999 146543 2.7749211
0.17849379999999998 3.5227811983199997 260520 2.4020973999999997
0.1117515 13.6661311652 217631 3.1146381
0.1550562 4.41614051765 375139 2.1806992999999997
0.13597089999999998 3.0935325774299995 244489 2.5342206000000003
0.098856 7.473932078069999 25065 2.3926103
0.1362345 4.41683586131 328323 2.5802807999999997
0.0961664 17.2257713823 183852 2.7772417000000003
