    Object      Image   Exp_time               RA              DEC             time       filter
145202 1715393p 287 214.678935077 -14.7975232445 56799.4498917 r.MP9601
145202 1715881p 287 214.185464666 -14.5434355437 56802.4421068 r.MP9601
145202 1722438p 287 211.341300293 -12.677972954 56834.3171178 r.MP9601
192858 1778492p 387 220.909201885 -15.5216370072 57048.612292 r.MP9601
195246 1658156p 287 25.0999027085 13.9558178811 56573.5131771 r.MP9601
195246 1667556p 287 20.3747435992 12.8231924767 56595.3844577 r.MP9601
195246 1667765p 287 20.1729102977 12.768318374 56596.380984 r.MP9601
195246 1667874p 287 19.9846170018 12.7168644482 56597.3212588 r.MP9601
195246 1667884p 287 19.9768335386 12.71471691 56597.3605032 r.MP9601
195246 1667885p 287 19.975511277 12.7143520844 56597.36717 r.MP9601
195246 1667902p 387 19.9581350984 12.7095578166 56597.454781 r.MP9601
195246 1668255p 287 19.1923089605 12.4952736233 56601.4392326 r.MP9601
241400 1778494p 387 216.383545951 -14.6912578592 57048.6225432 r.MP9601
373279 1646433p 287 24.8846138167 13.5890566503 56513.5029697 r.MP9601
373279 1646444p 287 24.8881058436 13.5894788297 56513.5463939 r.MP9601
373279 1651338p 287 25.1064519645 13.0691362081 56537.4291309 r.MP9601
373279 1651349p 287 25.1036663993 13.0667879466 56537.4722622 r.MP9601
373279 1651493p 287 25.03802261 13.0122840773 56538.4481996 r.MP9601
373279 1651505p 287 25.0347393484 13.0096030708 56538.4948258 r.MP9601
373279 1671895p 287 12.8530663995 4.67383712231 56625.2200534 r.MP9601
373279 1672373p 287 12.8892073642 4.53852810701 56630.2471259 r.MP9601
373279 1672385p 287 12.8902551111 4.53760556258 56630.2945711 r.MP9601
373279 1672746p 387 12.9402684231 4.50395972227 56632.2106863 r.MP9601
