    Object      Image   Exp_time               RA              DEC             time       filter
25 1617721p 287 240.919467322 -12.5334029473 56399.4875248 r.MP9601
25 1617722p 287 240.919161573 -12.5319524882 56399.4928422 r.MP9601
25 1617913p 287 240.79096723 -11.9866144065 56401.4640832 r.MP9601
25 1617926p 287 240.787087064 -11.9717551335 56401.5169946 r.MP9601
4742 1723209p 287 239.428218344 -12.9300678627 56838.4268593 r.MP9601
19169 1728793p 287 14.0963370133 2.61076311506 56861.5597529 r.MP9601
19761 1728590p 287 230.314967698 -11.722441635 56857.2703852 r.MP9601
37717 1729017p 287 17.9137675422 7.06788215602 56862.5647947 r.MP9601
38085 1616194p 287 210.422325268 -10.1590778452 56388.5868402 r.MP9601
47996 1645235p 287 14.7459890827 4.43646174428 56506.5046741 r.MP9601
47996 1645246p 287 14.745508302 4.44220737006 56506.5474102 r.MP9601
47996 1646581p 287 14.3306331178 5.58493631522 56515.5075537 r.MP9601
64969 1607613p 287 212.759751069 -12.1509851675 56331.5641669 r.MP9601
64969 1607624p 287 212.765516132 -12.1472382211 56331.6137588 r.MP9601
64969 1607625p 287 212.766089892 -12.146865311 56331.6186944 r.MP9601
64969 1607626p 287 212.766658191 -12.146495951 56331.623583 r.MP9601
85814 1723397p 287 243.643337507 -14.1389349146 56839.4027546 r.MP9601
120640 1722366p 287 12.4782237137 3.28162695406 56833.600572 r.MP9601
120640 1722513p 287 12.7206115472 3.50281732977 56834.5994251 r.MP9601
155661 1705087p 287 242.514461518 -14.6184734838 56778.4414751 r.MP9601
155661 1705100p 287 242.506195939 -14.6033057215 56778.4926024 r.MP9601
155661 1705114p 287 242.496413981 -14.5853553235 56778.5531094 r.MP9601
155661 1705570p 287 242.002509106 -13.7170693834 56781.4311425 r.MP9601
155661 1705583p 287 241.993338708 -13.7016031014 56781.4816218 r.MP9601
155661 1705596p 287 241.983961633 -13.6857882479 56781.5332387 r.MP9601
161545 1757441p 387 24.5994566265 13.8506144274 56981.2134853 r.MP9601
161545 1757463p 387 24.5799067899 13.8228700485 56981.3539632 r.MP9601
161545 1757550p 287 24.4564782852 13.6463221068 56982.2514129 r.MP9601
161545 1757592p 287 24.434286338 13.6139126172 56982.4178525 r.MP9601
165266 1775264p 387 18.6155047581 9.2964504573 57041.2222067 r.MP9601
165266 1775273p 387 18.6288596317 9.2969251262 57041.2683907 r.MP9601
175814 1646268p 287 11.1171566546 1.70824162173 56512.4759396 r.MP9601
175814 1646278p 287 11.1150216451 1.71219893723 56512.514758 r.MP9601
194213 1715385p 287 214.240449526 -12.138683747 56799.4172843 r.MP9601
194213 1715386p 287 214.239783242 -12.1379764945 56799.4211656 r.MP9601
194263 1607612p 287 212.91635659 -12.7737114706 56331.5602852 r.MP9601
194263 1607623p 287 212.922962609 -12.7700938888 56331.607471 r.MP9601
196450 1645164p 287 213.80986057 -11.9275646247 56506.262518 r.MP9601
196450 1645695p 287 214.890622803 -12.8518091237 56509.2711127 r.MP9601
203432 1635443p 287 240.891607907 -13.020436825 56475.376842 r.MP9601
203432 1635786p 287 240.617905058 -13.4165290121 56477.3681689 r.MP9601
234164 1686655p 500 157.02993676 9.13772091111 56689.539395 r.MP9601
234164 1686656p 500 157.029280671 9.13997750222 56689.545822 r.MP9601
234164 1686657p 500 157.028624173 9.14223549778 56689.552253 r.MP9601
234164 1686658p 500 157.02797186 9.14447909778 56689.558643 r.MP9601
238825 1722437p 287 212.226399798 -12.7584884597 56834.3131665 r.MP9601
