    Object      Image   Exp_time               RA              DEC             time       filter
98917 1691671p 287 213.24245187 -12.6514320621 56712.5584598 r.MP9601
98917 1691904p 287 213.269005494 -12.6439194352 56713.5278135 r.MP9601
98917 1692178p 287 213.304420247 -12.6197389997 56715.638792 r.MP9601
158393 1667915p 387 25.4539683957 12.7820079663 56597.520566 r.MP9601
158393 1671667p 387 21.1671127321 11.5417511635 56623.3512607 r.MP9601
158393 1672211p 287 20.8520364389 11.4613892594 56629.2940392 r.MP9601
158393 1672396p 287 20.8265582157 11.4574903599 56630.3391174 r.MP9601
158393 1681666p 287 22.7837531393 12.2613322323 56655.2469916 r.MP9601
158393 1681667p 287 22.7845868202 12.2616471336 56655.2518362 r.MP9601
158393 1681850p 287 22.9737729559 12.3331011317 56656.3381238 r.MP9601
158393 1681851p 287 22.9746090628 12.3334168644 56656.3428013 r.MP9601
158393 1681948p 287 23.5186820043 12.5379268373 56659.2454555 r.MP9601
158393 1681960p 287 23.5280195575 12.5414186114 56659.2925356 r.MP9601
158393 1682228p 287 23.7125096239 12.6103502438 56660.2154941 r.MP9601
158393 1682238p 287 23.7212078742 12.6135914617 56660.2579246 r.MP9601
158393 1682251p 387 23.7346303983 12.6185930797 56660.3234003 r.MP9601
178281 1645691p 287 213.541066042 -13.2073793816 56509.2553622 r.MP9601
188761 1657926p 287 14.5378215863 4.60750317467 56571.3971361 r.MP9601
188761 1657944p 287 14.5231018388 4.59883726903 56571.4708885 r.MP9601
188761 1657946p 287 14.5212990175 4.59777590037 56571.4799214 r.MP9601
188761 1658280p 287 13.9181337238 4.24438052106 56574.504149 r.MP9601
188761 1658281p 287 13.9172100694 4.24384220679 56574.5087963 r.MP9601
188761 1671653p 287 9.93112328688 1.68667256059 56623.2884794 r.MP9601
188761 1671663p 287 9.93498279522 1.68810057867 56623.3347935 r.MP9601
188761 1672595p 287 10.7903775055 2.0245375738 56631.2328405 r.MP9601
251752 1722367p 287 12.7407336893 4.4629561634 56833.6044934 r.MP9601
251752 1722514p 287 13.125367614 4.60056935208 56834.6033394 r.MP9601
296509 1722734p 287 16.2222244814 6.2617791567 56835.5900355 r.MP9601
296509 1722897p 287 16.5590315009 6.37832410005 56836.5951006 r.MP9601
296509 1768983p 287 17.5554179774 3.75287144597 57008.2430404 r.MP9601
306454 1729486p 287 28.0251534166 13.651133545 56864.5376248 r.MP9601
306454 1729497p 287 28.0403898038 13.6576934063 56864.5807976 r.MP9601
319726 1778100p 387 27.5665901709 12.6247614124 57046.2878527 r.MP9601
319726 1778110p 387 27.5816683506 12.6309568638 57046.3436118 r.MP9601
322008 1722365p 287 12.4812152853 1.96283837074 56833.5966782 r.MP9601
322008 1722512p 287 12.840732486 2.07710414515 56834.5955377 r.MP9601
