    Object      Image   Exp_time               RA              DEC             time       filter
2169 1615937p 287 215.273779375 -12.4350527514 56386.5386638 r.MP9601
2169 1616320p 287 214.765417853 -12.2696441467 56389.4031826 r.MP9601
2169 1616331p 287 214.757423104 -12.2670460049 56389.4468896 r.MP9601
2169 1616331p 287 214.757423104 -12.2670460049 56389.4468896 r.MP9601
2169 1616507p 287 214.574952083 -12.2076722562 56390.4355246 r.MP9601
2169 1616518p 287 214.566509862 -12.2049209967 56390.4807507 r.MP9601
2169 1616685p 287 214.397143482 -12.1497704806 56391.3821003 r.MP9601
8008 1686687p 387 217.760739493 -13.4125213588 56689.6529079 r.MP9601
8008 1704647p 387 213.488127361 -11.3086668118 56776.3403081 r.MP9601
8008 1704648p 387 213.487075828 -11.3083058066 56776.3453453 r.MP9601
8008 1704655p 387 213.479695579 -11.3057720682 56776.3806998 r.MP9601
8008 1704656p 387 213.478642954 -11.3054106882 56776.3857423 r.MP9601
8008 1704663p 387 213.47127175 -11.3028800553 56776.4210535 r.MP9601
8008 1704664p 387 213.469935487 -11.3024212983 56776.4274548 r.MP9601
8008 1704665p 387 213.468866801 -11.3020544041 56776.4325742 r.MP9601
15045 1686687p 387 217.333277793 -12.9287106423 56689.6529079 r.MP9601
15045 1686796p 387 217.526255572 -12.9808462807 56690.6507882 r.MP9601
15045 1686797p 387 217.527348425 -12.9811402367 56690.6564777 r.MP9601
15045 1686863p 387 217.705200837 -13.0286540783 56691.5953038 r.MP9601
15045 1728412p 287 211.060547212 -10.9504845408 56856.2797859 r.MP9601
15045 1728421p 287 211.066884852 -10.9531969461 56856.3173423 r.MP9601
18274 1722731p 287 15.7187153016 5.64202732252 56835.5783673 r.MP9601
18274 1722894p 287 16.0056188241 5.75077467213 56836.5834336 r.MP9601
18274 1752649p 387 17.4838312418 5.1607015994 56959.2629488 r.MP9601
18274 1757899p 287 14.5427870054 4.14851481166 56985.2788898 r.MP9601
18274 1757987p 287 14.5106112023 4.14602633197 56986.3052049 r.MP9601
18274 1768987p 287 15.4359647501 4.7729969925 57008.2587705 r.MP9601
21710 1657653p 287 13.5664287483 3.37416673642 56570.3673461 r.MP9601
21710 1657921p 287 13.3574303754 3.29191099953 56571.3758375 r.MP9601
21710 1657937p 287 13.3440712018 3.28667105594 56571.4402191 r.MP9601
21710 1658271p 287 12.7159520663 3.04190976044 56574.4691835 r.MP9601
22237 1728796p 287 12.968344466 3.18512237983 56861.5715195 r.MP9601
22237 1729708p 287 13.4172237911 3.31337724581 56865.5560206 r.MP9601
24783 1778492p 387 221.601040876 -15.4639945254 57048.612292 r.MP9601
30680 1704840p 287 225.73658749 -15.9532910796 56777.3932342 r.MP9601
30680 1704853p 287 225.725739198 -15.9502202668 56777.4448927 r.MP9601
30680 1704866p 287 225.714952244 -15.9471668168 56777.4962592 r.MP9601
34017 1631360p 287 215.342904449 -12.2435460168 56455.3916895 r.MP9601
34017 1631371p 287 215.339287519 -12.2429846591 56455.4376188 r.MP9601
34017 1635779p 287 214.990084474 -12.4397755743 56477.3351117 r.MP9601
34017 1636323p 287 215.151674943 -12.5353331931 56480.3007834 r.MP9601
34017 1645484p 287 218.836414823 -14.0883799102 56508.2716324 r.MP9601
34017 1646360p 287 219.853370934 -14.4618190605 56513.2501749 r.MP9601
60782 1691680p 287 218.05522198 -13.5713772107 56712.5934583 r.MP9601
60782 1691682p 287 218.055552046 -13.5714570306 56712.6012246 r.MP9601
60782 1691915p 287 218.093874542 -13.5805189324 56713.5763922 r.MP9601
60782 1692334p 287 218.176739106 -13.5974358356 56716.5244553 r.MP9601
60782 1698320p 287 216.473238055 -12.9909123982 56744.4494839 r.MP9601
