Object	Image	Exp_time	RA	DEC	time	filter
186915	1757677p	500	11.6744089988	-1.84042946245	56983.1922454	r.MP9601
186915	1757678p	500	11.674208261	-1.8402117734	56983.198669	r.MP9601
186915	1757679p	500	11.6740096933	-1.83999643776	56983.2050231	r.MP9601
186915	1757772p	500	11.643740408	-1.80496215278	56984.2207292	r.MP9601
186915	1757773p	500	11.6435844859	-1.80472959105	56984.2270718	r.MP9601
186915	1757774p	500	11.6434285639	-1.80449702932	56984.2334144	r.MP9601
186924	1728436p	287	237.991730328	-14.4429946094	56856.3569877	r.MP9601
187056	1650815p	287	16.3473578298	6.12785394554	56534.4489508	r.MP9601
187056	1651032p	287	16.2612015482	6.04040412014	56535.4517036	r.MP9601
187056	1651047p	287	16.2557470192	6.03499187434	56535.5125914	r.MP9601
187056	1651048p	287	16.2553284752	6.03457657488	56535.5172635	r.MP9601
187056	1651679p	287	15.8539442483	5.66247863547	56539.43153	r.MP9601
187056	1651690p	287	15.8489967111	5.65814433095	56539.4743967	r.MP9601
187056	1651696p	287	15.8453024397	5.65490795363	56539.5064049	r.MP9601
187056	1656884p	287	11.4362537291	2.46298221214	56564.3454028	r.MP9601
187056	1656894p	287	11.4277786367	2.45738606332	56564.38422	r.MP9601
187056	1656905p	287	11.4182089443	2.45106714431	56564.4280506	r.MP9601
187056	1657315p	287	10.7592090019	2.01840870069	56567.4308098	r.MP9601
187056	1657316p	287	10.7581345253	2.01770863214	56567.4356846	r.MP9601
187082	1778496p	387	214.814497633	-13.4547009897	57048.6327179	r.MP9601
187150	1630876p	287	240.450779369	-11.4608259997	56449.4206725	r.MP9601
187150	1630883p	287	240.444960519	-11.4602797403	56449.449173	r.MP9601
187150	1635432p	287	236.495776132	-11.5318277645	56475.3323908	r.MP9601
187150	1635593p	287	236.408007673	-11.5589613334	56476.3700082	r.MP9601
187192	1774674p	387	16.2069490099	3.93937434161	57039.2436666	r.MP9601
187235	1722735p	287	18.0837189281	4.24875333289	56835.5939185	r.MP9601
187235	1729021p	287	24.4978094641	7.09182199318	56862.5805761	r.MP9601
187235	1778895p	287	23.0927632449	12.2361765262	57050.2516792	r.MP9601
187296	1645482p	287	217.400224069	-12.6993227965	56508.2636027	r.MP9601
187296	1646176p	287	218.253863578	-13.0554532919	56512.2458288	r.MP9601
187296	1646180p	287	218.257396593	-13.0569000196	56512.2617075	r.MP9601
187317	1631360p	287	215.513230857	-12.5377036021	56455.3916895	r.MP9601
187317	1631371p	287	215.509652202	-12.537499472	56455.4376188	r.MP9601
187317	1636119p	287	215.251146381	-12.9450810489	56479.2702303	r.MP9601
187317	1636322p	287	215.310931717	-12.9849310243	56480.2968867	r.MP9601
187317	1645484p	287	218.934372562	-14.641078889	56508.2716324	r.MP9601
187320	1729482p	287	25.7028560604	15.0444653999	56864.5219441	r.MP9601
187320	1729493p	287	25.7129514322	15.0488645673	56864.5649795	r.MP9601
187320	1729504p	287	25.7231249758	15.0532977988	56864.608348	r.MP9601
187320	1751518p	287	23.9504291122	14.6087150006	56952.2741028	r.MP9601
187320	1751529p	287	23.9409250384	14.6038536138	56952.3190925	r.MP9601
187320	1751540p	287	23.931457708	14.5990110214	56952.3639083	r.MP9601
187320	1751808p	387	23.7014608526	14.4807239143	56953.4562504	r.MP9601
187320	1752110p	387	23.2819744289	14.2609526998	56955.472189	r.MP9601
187320	1778100p	387	26.6622910914	12.3532935206	57046.2878527	r.MP9601
187320	1778110p	387	26.677020777	12.3574289844	57046.3436118	r.MP9601
187345	1735262p	287	12.4095099685	2.77440330256	56893.4976696	r.MP9601
187345	1736298p	287	12.1299911383	2.58906010679	56897.4698044	r.MP9601
187345	1736300p	287	12.1292870226	2.58861914545	56897.4783391	r.MP9601
187345	1736301p	287	12.1286224392	2.58820294175	56897.4863947	r.MP9601
187345	1736314p	287	12.1252536892	2.58609321952	56897.527228	r.MP9601
187345	1736507p	287	12.0313567842	2.52850738449	56898.6185151	r.MP9601
187345	1774991p	387	11.8598101926	3.29935894881	57040.2304544	r.MP9601
187377	1607609p	287	211.827463928	-12.4560120022	56331.5486483	r.MP9601
187377	1607619p	287	211.832158168	-12.4572813073	56331.5880406	r.MP9601
187386	1774683p	387	14.9367961344	2.41283149433	57039.292889	r.MP9601
187400	1692347p	387	247.83207214	-17.6224440788	56716.5829108	r.MP9601
