    Object      Image   Exp_time               RA              DEC             time       filter
6392 1631359p 287 216.196461005 -13.6254294976 56455.3876164 r.MP9601
6392 1631370p 287 216.191374318 -13.6277410506 56455.4333395 r.MP9601
14039 1757441p 387 24.5889604262 13.7408830283 56981.2134853 r.MP9601
14039 1757463p 387 24.5729225363 13.7251963331 56981.3539632 r.MP9601
14039 1757550p 287 24.471511252 13.625330304 56982.2514129 r.MP9601
14039 1757592p 287 24.4532028955 13.6069757143 56982.4178525 r.MP9601
14039 1757441p 387 24.5889604262 13.7408830283 56981.2134853 r.MP9601
14039 1757463p 387 24.5729225363 13.7251963331 56981.3539632 r.MP9601
14039 1757550p 287 24.471511252 13.625330304 56982.2514129 r.MP9601
14039 1757592p 287 24.4532028955 13.6069757143 56982.4178525 r.MP9601
15105 1626156p 287 211.950994605 -11.8292374706 56423.4418298 r.MP9601
15105 1626292p 287 211.749579448 -11.8379185809 56424.4396028 r.MP9601
15119 1729257p 287 22.3606699064 14.3191784345 56863.5207224 r.MP9601
15119 1729267p 287 22.3665987989 14.32559708 56863.5622073 r.MP9601
15119 1729277p 287 22.372558201 14.3320487554 56863.6039058 r.MP9601
23617 1615936p 287 214.49663148 -13.9423298981 56386.5347254 r.MP9601
23617 1616201p 287 214.188329147 -13.7128862506 56388.6149863 r.MP9601
23617 1616502p 287 213.912288823 -13.5098679454 56390.4157936 r.MP9601
28904 1658021p 287 22.8612566595 13.8949159099 56572.3705178 r.MP9601
28904 1658151p 287 22.6763144474 13.7239931462 56573.4920737 r.MP9601
28904 1667557p 287 19.082788521 10.2209345122 56595.3883406 r.MP9601
41906 1691932p 387 242.52848845 -14.263587753 56713.6569583 r.MP9601
41906 1692341p 387 242.877490846 -14.3784362871 56716.5526474 r.MP9601
41906 1692664p 387 243.486133865 -14.6019452445 56722.6063219 r.MP9601
41906 1692838p 387 243.568347067 -14.6358446788 56723.5809745 r.MP9601
51801 1671903p 387 24.2622432885 14.5335121364 56625.2594585 r.MP9601
51801 1672412p 287 24.0792078046 13.8710168249 56630.4021547 r.MP9601
51801 1672608p 387 24.0634556611 13.7638869889 56631.2941337 r.MP9601
114735 1691675p 287 215.757443737 -12.3199842552 56712.5739825 r.MP9601
114735 1691678p 287 215.757730089 -12.3193694898 56712.5856307 r.MP9601
114735 1691908p 287 215.779014815 -12.2676029482 56713.5435828 r.MP9601
114735 1691911p 287 215.779252687 -12.2669621487 56713.5552337 r.MP9601
114735 1692332p 287 215.8161321 -12.0941139731 56716.5166955 r.MP9601
115679 1769001p 287 12.0578446946 2.1798264807 57008.3312335 r.MP9601
115679 1769002p 287 12.0582448284 2.17980434329 57008.3352182 r.MP9601
115679 1774679p 387 17.1252710663 3.04949337769 57039.269152 r.MP9601
123469 1728435p 287 237.921595171 -12.741541155 56856.3528276 r.MP9601
123469 1729356p 287 237.945155961 -13.5368931918 56864.2848247 r.MP9601
130358 1651337p 287 24.1799697006 15.1208956125 56537.4252143 r.MP9601
130358 1651348p 287 24.1780643692 15.1180555902 56537.4683539 r.MP9601
130358 1651492p 287 24.1325524367 15.0525702252 56538.4443206 r.MP9601
130358 1651504p 287 24.1302406578 15.0493712931 56538.4909447 r.MP9601
130358 1656935p 287 21.2757500726 12.3623267809 56564.5190472 r.MP9601
130358 1658263p 287 19.6255154814 10.9727890121 56574.4124706 r.MP9601
130358 1658264p 287 19.6228855954 10.9705614437 56574.4277164 r.MP9601
130358 1658265p 287 19.6222020392 10.9699824572 56574.431679 r.MP9601
130358 1658266p 287 19.6197854629 10.9679355665 56574.4456881 r.MP9601
130358 1671919p 287 13.885347742 4.83649923393 56625.3093456 r.MP9601
130358 1672376p 287 13.9291569683 4.55998996931 56630.2588282 r.MP9601
130358 1672389p 287 13.9303290024 4.55747226645 56630.3109186 r.MP9601
168043 1681950p 287 23.7328932851 14.8550212507 56659.2532577 r.MP9601
168043 1681963p 387 23.7377531194 14.8530438534 56659.3080164 r.MP9601
168043 1682230p 287 23.8199128522 14.8204889348 56660.2232773 r.MP9601
168043 1682240p 287 23.8238532365 14.8190517842 56660.2656851 r.MP9601
187732 1686687p 387 217.485429148 -12.5825411734 56689.6529079 r.MP9601
187732 1686796p 387 217.622836563 -12.5717549118 56690.6507882 r.MP9601
187732 1686797p 387 217.623611753 -12.5716901151 56690.6564777 r.MP9601
187732 1686863p 387 217.749542462 -12.5598403939 56691.5953038 r.MP9601
197121 1774683p 387 15.4474150228 2.42559519124 57039.292889 r.MP9601
242132 1681683p 387 20.8679619768 12.3374613594 56655.2917667 r.MP9601
242132 1681943p 287 21.3164777264 12.2000149261 56659.2259082 r.MP9601
242132 1681955p 287 21.3223550713 12.1986258546 56659.2730842 r.MP9601
242132 1681971p 387 21.3322011735 12.1962987936 56659.3521164 r.MP9601
242132 1682232p 387 21.4428338298 12.1709814376 56660.2316167 r.MP9601
308481 1728411p 287 212.122615021 -10.3589847673 56856.2758631 r.MP9601
316547 1645486p 287 220.268166781 -15.5530778579 56508.2800009 r.MP9601
327567 1729479p 287 25.2592890846 14.5576960051 56864.5099424 r.MP9601
327567 1729490p 287 25.2643615578 14.5627865297 56864.553266 r.MP9601
327567 1729501p 287 25.2694238383 14.5678668255 56864.5965025 r.MP9601
374250 1646288p 287 21.2525977562 11.0837626966 56512.5556662 r.MP9601
374250 1646299p 287 21.2546361532 11.0826828316 56512.5993461 r.MP9601
374250 1657933p 287 16.6643364677 5.94114802553 56571.4246662 r.MP9601
374250 1658291p 287 16.1463908534 5.5301663163 56574.5505312 r.MP9601
385159 1672599p 287 14.1387721889 2.52250657583 56631.2492169 r.MP9601
