    Object      Image   Exp_time               RA              DEC             time       filter
29054 1645492p 287 244.942298946 -12.7465519336 56508.3047043 r.MP9601
29054 1646365p 287 245.227466043 -12.8426690854 56513.2701088 r.MP9601
113185 1716501p 287 232.994897691 -12.8747121214 56806.3819947 r.MP9601
113185 1716511p 287 232.987385465 -12.871376952 56806.420851 r.MP9601
113185 1716521p 287 232.97987341 -12.8680418586 56806.4597065 r.MP9601
113185 1716711p 287 232.802441714 -12.7894453369 56807.3815684 r.MP9601
113185 1716723p 287 232.793157348 -12.7853459217 56807.4301141 r.MP9601
113185 1716724p 287 232.792286151 -12.7849612539 56807.4346694 r.MP9601
113185 1716965p 287 232.605023745 -12.7022032302 56808.4202279 r.MP9601
113185 1717102p 287 232.438406509 -12.6287084468 56809.3083319 r.MP9601
113185 1717113p 287 232.43033862 -12.6251708491 56809.3516495 r.MP9601
113185 1717124p 287 232.422347484 -12.6216669057 56809.3945549 r.MP9601
113185 1721428p 287 229.421674107 -11.3117293752 56829.3773624 r.MP9601
113185 1721438p 287 229.417507804 -11.3099029022 56829.4162695 r.MP9601
113185 1728597p 287 228.381300448 -10.7516543948 56857.2977911 r.MP9601
113185 1728601p 287 228.381846742 -10.7517443197 56857.3139775 r.MP9601
153112 1729020p 287 19.1435350804 7.58761478785 56862.5765295 r.MP9601
214773 1698709p 387 237.014112106 -12.6601144514 56751.509775 r.MP9601
214773 1698721p 387 237.007828098 -12.6599414971 56751.5789567 r.MP9601
271841 1667916p 387 24.9676990558 13.882608005 56597.525605 r.MP9601
299202 1686656p 500 156.345400958 8.66277851222 56689.545822 r.MP9601
299202 1686657p 500 156.344463104 8.66367527944 56689.552253 r.MP9601
