    Object      Image   Exp_time               RA              DEC             time       filter
244522 1691680p 287 217.522977031 -13.3354581587 56712.5934583 r.MP9601
244522 1691682p 287 217.523103233 -13.3345844543 56712.6012246 r.MP9601
244522 1691915p 287 217.536067745 -13.2232770156 56713.5763922 r.MP9601
244522 1691917p 287 217.536156453 -13.2223680306 56713.5842773 r.MP9601
244522 1692336p 287 217.544200462 -12.8693413465 56716.5322223 r.MP9601
364316 1631351p 287 213.119952725 -10.9833406714 56455.3555013 r.MP9601
364316 1631362p 287 213.113187605 -10.9874317821 56455.3998627 r.MP9601
364316 1635769p 287 211.184783981 -13.1972011378 56477.2949723 r.MP9601
