    Object      Image   Exp_time               RA              DEC             time       filter
720 1728791p 287 14.6454095005 4.32296828286 56861.5519312 r.MP9601
720 1729702p 287 15.0235039484 4.47146244149 56865.531114 r.MP9601
720 1734919p 387 15.4988809786 4.64555239142 56891.6134852 r.MP9601
720 1736293p 287 15.096111699 4.48720890152 56897.4503996 r.MP9601
811 1722739p 287 18.9472280324 5.56284982974 56835.6095012 r.MP9601
975 1626158p 287 212.857518537 -13.3694129599 56423.4503352 r.MP9601
975 1626291p 287 212.668294773 -13.317925902 56424.4356511 r.MP9601
1363 1631358p 287 215.815107108 -13.7553914302 56455.3835801 r.MP9601
1363 1631369p 287 215.811798344 -13.7541490588 56455.4292182 r.MP9601
1363 1636118p 287 215.701110342 -13.6564830659 56479.2657831 r.MP9601
1363 1636321p 287 215.768172915 -13.6767381856 56480.2928614 r.MP9601
1363 1645487p 287 219.606905025 -14.8717959421 56508.2839336 r.MP9601
1745 1672615p 387 10.0273349851 0.845582733709 56631.3356268 r.MP9601
1745 1672616p 387 10.02767202 0.845940714326 56631.3424818 r.MP9601
1745 1672745p 387 10.0711726387 0.891478845569 56632.2046896 r.MP9601
2506 1722436p 287 212.225459878 -10.3389835715 56834.3092878 r.MP9601
2700 1616513p 287 217.327211052 -12.2821421555 56390.4596373 r.MP9601
2700 1616524p 287 217.319666655 -12.278992432 56390.5044555 r.MP9601
2700 1616526p 287 217.318120281 -12.2783468334 56390.5136419 r.MP9601
2700 1616564p 287 217.312001318 -12.2757922171 56390.5499922 r.MP9601
2700 1616565p 287 217.31114567 -12.2754349911 56390.5550752 r.MP9601
2700 1616691p 287 217.166583809 -12.2153081797 56391.4058225 r.MP9601
2700 1616702p 287 217.159201396 -12.2122500927 56391.4488268 r.MP9601
2700 1616716p 287 217.147922061 -12.2075777469 56391.5145317 r.MP9601
2700 1616717p 287 217.147242588 -12.2072962824 56391.5184898 r.MP9601
2700 1616718p 287 217.14657642 -12.2070203294 56391.5223704 r.MP9601
2700 1645693p 287 213.41283857 -11.1276644364 56509.2632026 r.MP9601
2901 1722735p 287 17.8431814923 4.34581452957 56835.5939185 r.MP9601
2901 1722898p 287 18.1006570547 4.44007164528 56836.5989819 r.MP9601
2901 1751789p 287 18.2000710373 3.87295501807 56953.3640456 r.MP9601
2901 1752204p 287 17.6011397234 3.6916364035 56956.4609354 r.MP9601
2901 1752374p 287 17.4241580953 3.63946244594 56957.4027306 r.MP9601
2985 1778498p 387 217.219087192 -13.9542296455 57048.642903 r.MP9601
3016 1778497p 387 215.276238974 -11.0518377738 57048.6378056 r.MP9601
3170 1722740p 287 18.9864726339 7.1043306839 56835.6133812 r.MP9601
3191 1656890p 287 13.7069840147 2.98035961956 56564.3686995 r.MP9601
3191 1656900p 287 13.6992348556 2.97749556496 56564.4076074 r.MP9601
3191 1657308p 287 13.0983290062 2.75679109275 56567.4020833 r.MP9601
3191 1657359p 287 12.9049763578 2.6864687221 56568.357406 r.MP9601
3191 1657385p 287 12.8926581363 2.68200009962 56568.4181119 r.MP9601
3191 1657475p 287 12.6768349635 2.60385198635 56569.4797466 r.MP9601
3191 1657477p 287 12.6747254423 2.6030898553 56569.4901001 r.MP9601
