Object	Image	Exp_time	RA	DEC	time	filter
287936	1751559p	287	21.0248280575	13.6099563628	56952.4410317	r.MP9601
287936	1751569p	287	21.0182657659	13.6040503004	56952.4804054	r.MP9601
287936	1751579p	287	21.0117796956	13.5982128372	56952.5193218	r.MP9601
287936	1751805p	387	20.8592547927	13.4598254532	56953.4410876	r.MP9601
287936	1752105p	387	20.5336100727	13.1587813356	56955.446187	r.MP9601
304757	1691929p	387	241.425343614	-13.9068060708	56713.6403834	r.MP9601
304757	1692663p	387	242.265428593	-14.0161780835	56722.6012844	r.MP9601
304757	1692837p	387	242.335075267	-14.0242016932	56723.575932	r.MP9601
304757	1704851p	287	238.994069313	-13.6398422578	56777.4364421	r.MP9601
304757	1704864p	287	238.98489869	-13.6390726951	56777.4877463	r.MP9601
304757	1704877p	287	238.975649469	-13.6382965367	56777.5394901	r.MP9601
304757	1705715p	287	238.059140113	-13.5647098632	56782.4914055	r.MP9601
304757	1705893p	287	237.88113362	-13.5512777509	56783.4196097	r.MP9601
304757	1705894p	287	237.880381744	-13.5512225375	56783.4235072	r.MP9601
304757	1705895p	287	237.878098367	-13.5510548597	56783.4353432	r.MP9601
304757	1705896p	287	237.877317736	-13.5509975348	56783.4393897	r.MP9601
304757	1705908p	287	237.868273917	-13.5503334098	56783.4862691	r.MP9601
304757	1705909p	287	237.867508865	-13.5502772289	56783.4902348	r.MP9601
304757	1705923p	287	237.853582732	-13.5492545755	56783.5624221	r.MP9601
304757	1705924p	287	237.852833758	-13.5491995752	56783.5663045	r.MP9601
304757	1716713p	287	233.100856558	-13.321356945	56807.3893747	r.MP9601
304757	1716959p	287	232.908293744	-13.3193233739	56808.4059756	r.MP9601
318255	1645495p	287	246.071925301	-12.9305070136	56508.316761	r.MP9601
318255	1646368p	287	246.212224917	-13.0646096196	56513.2818536	r.MP9601
329647	1734908p	287	16.6197546191	3.6322312961	56891.5603804	r.MP9601
329647	1736286p	287	16.3133724428	3.91183752224	56897.4223208	r.MP9601
333502	1645758p	287	12.9074259237	4.88292605937	56509.4931443	r.MP9601
333502	1645770p	287	12.9064769935	4.88384133959	56509.5416003	r.MP9601
333502	1645771p	287	12.9063843852	4.88393066391	56509.5463293	r.MP9601
361515	1631353p	287	213.777425486	-12.0364205678	56455.3635298	r.MP9601
361515	1631364p	287	213.776901386	-12.0337127189	56455.4084526	r.MP9601
361515	1635780p	287	214.913143571	-11.3609133531	56477.3389911	r.MP9601
363057	1631617p	287	212.296956022	-12.8043425313	56456.2861755	r.MP9601
363057	1631627p	287	212.296231205	-12.8023647341	56456.3266304	r.MP9601
363057	1635773p	287	213.050268409	-12.2738389028	56477.3114214	r.MP9601
363057	1636134p	287	213.237540824	-12.2728656848	56479.3309236	r.MP9601
363057	1645482p	287	217.78349291	-13.0173595699	56508.2636027	r.MP9601
363057	1646182p	287	218.648851048	-13.2075723833	56512.2696122	r.MP9601
363444	1645168p	287	216.132210099	-14.1559810423	56506.2784819	r.MP9601
363444	1645823p	287	217.009432611	-14.3031514699	56510.2593423	r.MP9601
363444	1645955p	287	217.239654131	-14.3434350929	56511.259232	r.MP9601
365459	1616499p	287	212.61417654	-13.6006385726	56390.4039309	r.MP9601
368147	1645495p	287	245.607170293	-13.4590250082	56508.316761	r.MP9601
368147	1646368p	287	246.22547463	-13.5705362593	56513.2818536	r.MP9601
372278	1651056p	287	12.6031963796	2.50030024142	56535.5491304	r.MP9601
372278	1651067p	287	12.5974984391	2.50056809332	56535.5929607	r.MP9601
372278	1651068p	287	12.5968789485	2.50059721467	56535.597726	r.MP9601
372278	1651069p	287	12.5962121439	2.50062856019	56535.6028553	r.MP9601
372278	1651070p	287	12.5955925723	2.50065768535	56535.6076212	r.MP9601
372278	1651071p	287	12.5949498915	2.50068789684	56535.6125649	r.MP9601
372278	1651166p	287	12.4853261266	2.50498851235	56536.4349153	r.MP9601
372278	1651176p	287	12.4800170274	2.50516169397	56536.4738811	r.MP9601
372278	1651843p	287	11.9014669813	2.51002751848	56540.4144191	r.MP9601
372278	1651853p	287	11.895322669	2.50995206202	56540.4532252	r.MP9601
376328	1667733p	287	15.2975829098	5.3799977201	56596.254458	r.MP9601
376328	1667744p	287	15.2903471966	5.37863654634	56596.2974424	r.MP9601
376328	1667755p	287	15.2831555528	5.37728366286	56596.340165	r.MP9601
376328	1667864p	287	15.1255691296	5.34771873504	56597.2811942	r.MP9601
376328	1667893p	387	15.1045004404	5.34379157383	56597.4085616	r.MP9601
376328	1668257p	287	14.461388618	5.22900344532	56601.4471785	r.MP9601
376623	1723123p	287	31.0453696132	18.5992595968	56837.5931655	r.MP9601
376623	1723271p	287	31.2622073929	18.7087804623	56838.6103877	r.MP9601
