    Object      Image   Exp_time               RA              DEC             time       filter
10955 1729488p 287 28.3919295606 16.4710596746 56864.5454439 r.MP9601
10955 1729499p 287 28.4010969056 16.4748418798 56864.5886691 r.MP9601
10955 1751527p 287 26.8011108459 15.8774798557 56952.3110687 r.MP9601
10955 1751538p 287 26.7915618737 15.8726522156 56952.3560933 r.MP9601
10955 1751550p 287 26.7811096709 15.8673679323 56952.4053768 r.MP9601
10955 1751817p 387 26.5488190194 15.7494058598 56953.5016424 r.MP9601
10955 1752116p 387 26.1263559264 15.5315348835 56955.5024669 r.MP9601
10955 1757090p 387 21.8508682201 12.9232898591 56980.2178774 r.MP9601
10955 1757113p 387 21.8356447633 12.9114063365 56980.3507366 r.MP9601
10955 1757541p 287 21.6309056934 12.7475206807 56982.2147412 r.MP9601
10955 1757582p 287 21.6142612413 12.7336728575 56982.3771261 r.MP9601
10955 1778100p 387 27.2052902743 12.3814040869 57046.2878527 r.MP9601
10955 1778110p 387 27.2190674092 12.3849045169 57046.3436118 r.MP9601
29109 1729709p 287 12.6417074272 4.61662660383 56865.5599023 r.MP9601
50612 1716500p 287 229.326806307 -10.8533937311 56806.3781164 r.MP9601
50612 1716510p 287 229.319459919 -10.8511175375 56806.416952 r.MP9601
50612 1716520p 287 229.312106587 -10.8488391923 56806.4558242 r.MP9601
50612 1716739p 287 229.118905883 -10.7894209767 56807.4857083 r.MP9601
50612 1716958p 287 228.950124959 -10.7382761764 56808.4020597 r.MP9601
64408 1645492p 287 244.837745462 -13.1201812634 56508.3047043 r.MP9601
64408 1646365p 287 245.295928458 -13.4663022449 56513.2701088 r.MP9601
79196 1729839p 500 240.364120129 -23.248668017 56867.2471065 r.MP9601
79196 1729840p 500 240.364452281 -23.2488487076 56867.2534838 r.MP9601
79196 1729841p 500 240.364782624 -23.2490284144 56867.2598264 r.MP9601
100729 1757448p 387 26.4966956678 15.5240498103 56981.2490286 r.MP9601
100729 1757470p 387 26.4774671468 15.5108411606 56981.3892974 r.MP9601
100729 1757559p 287 26.3557527561 15.4264690399 56982.2904248 r.MP9601
100729 1757599p 287 26.335495022 15.4121466928 56982.445261 r.MP9601
104007 1698712p 387 237.810993066 -10.7225849166 56751.5251156 r.MP9601
140061 1626166p 287 214.899249826 -11.8858501559 56423.4821748 r.MP9601
140061 1626299p 287 214.711202013 -11.7930693327 56424.4714937 r.MP9601
148849 1774672p 387 10.7273330423 2.40562808459 57039.233382 r.MP9601
148876 1757986p 287 11.1704638004 1.33573175278 56986.3013163 r.MP9601
148876 1769002p 287 12.0632566088 2.95175418431 57008.3352182 r.MP9601
157200 1645239p 287 15.5133194813 5.52287740821 56506.5201901 r.MP9601
157200 1645250p 287 15.51770016 5.52279430591 56506.5629284 r.MP9601
157200 1650813p 287 16.0774917643 4.35882022091 56534.4396163 r.MP9601
157200 1651030p 287 16.00902782 4.27557929182 56535.4437979 r.MP9601
157200 1651041p 287 16.0059478327 4.27195015951 56535.4867744 r.MP9601
157200 1651043p 287 16.0053413527 4.27123554742 56535.4952369 r.MP9601
157200 1651044p 287 16.0049959684 4.27082858298 56535.5000563 r.MP9601
157200 1651045p 287 16.0046592683 4.27043185098 56535.5047544 r.MP9601
157200 1651674p 287 15.6790158837 3.92069092575 56539.4120606 r.MP9601
157200 1651685p 287 15.6749344559 3.91663920274 56539.4548354 r.MP9601
168440 1705704p 287 226.150724568 -16.416893703 56782.4462896 r.MP9601
168440 1705885p 287 225.929766886 -16.3908831916 56783.3882051 r.MP9601
168440 1705900p 287 225.914086771 -16.389026458 56783.4550475 r.MP9601
168440 1705913p 287 225.902132099 -16.3876108663 56783.5060088 r.MP9601
168440 1705915p 287 225.896262287 -16.3869158027 56783.5310311 r.MP9601
181575 1626152p 287 211.034632652 -12.2452085799 56423.4221042 r.MP9601
181575 1626288p 287 210.853250895 -12.1519173873 56424.4237159 r.MP9601
181575 1645164p 287 213.358759274 -11.5266817782 56506.262518 r.MP9601
181575 1645693p 287 214.048738625 -11.7339212988 56509.2632026 r.MP9601
182615 1774991p 387 12.2823444737 4.14887763944 57040.2304544 r.MP9601
185700 1729478p 287 24.7271831267 13.9023540712 56864.5059945 r.MP9601
185700 1729489p 287 24.7354452346 13.905319029 56864.5493842 r.MP9601
185700 1729500p 287 24.7436698564 13.9082705344 56864.5925769 r.MP9601
185700 1735258p 287 28.24193536 15.0283671579 56893.481989 r.MP9601
185700 1735274p 287 28.2449368128 15.0287751223 56893.5519257 r.MP9601
185700 1741578p 287 27.3807134415 14.3428580137 56918.4785253 r.MP9601
