    Object      Image   Exp_time               RA              DEC             time       filter
22076 1735256p 287 26.3657647051 15.1147536576 56893.4742297 r.MP9601
22076 1735272p 287 26.3682123217 15.1131607642 56893.5441616 r.MP9601
22076 1736563p 287 26.473519011 14.9289653948 56899.4456264 r.MP9601
22076 1736592p 287 26.4735634267 14.9247311018 56899.552224 r.MP9601
22076 1741573p 287 25.4595189152 13.650678832 56918.4591091 r.MP9601
22076 1741584p 287 25.4550154576 13.646632247 56918.5018297 r.MP9601
22076 1742020p 287 24.8669501507 13.1394378892 56923.4962046 r.MP9601
22076 1768986p 287 16.7079535322 4.56970062545 57008.2548593 r.MP9601
85023 1698831p 387 214.855910677 -13.126273611 56752.4125391 r.MP9601
92010 1778902p 287 24.6038679854 14.3918055559 57050.2793367 r.MP9601
192380 1645237p 287 15.1293175633 3.49767297522 56506.5124324 r.MP9601
192380 1645248p 287 15.1327009739 3.49588036121 56506.5551702 r.MP9601
216025 1626163p 287 214.491052412 -11.6424969362 56423.4701767 r.MP9601
216025 1626299p 287 214.317000663 -11.5312070811 56424.4714937 r.MP9601
261565 1616726p 287 238.680640965 -12.0101848523 56391.5551561 r.MP9601
261565 1616922p 287 238.582486414 -12.0109923309 56392.5241304 r.MP9601
261565 1616932p 287 238.57823658 -12.0110263296 56392.5649288 r.MP9601
261565 1617938p 287 237.405878586 -12.0125 56401.565745 r.MP9601
262714 1715886p 287 244.313613691 -13.8313193332 56802.4637032 r.MP9601
262714 1715888p 287 244.311610161 -13.8314721238 56802.4725749 r.MP9601
316191 1715409p 287 243.015758468 -13.169838694 56799.5141431 r.MP9601
316191 1715411p 287 243.014001436 -13.1699789114 56799.5219089 r.MP9601
