object expnum ra dec flux mag x y time consistent_f consistent_mag diff_ra diff_dec a b theta
368147 1646368p 246.223603491 -13.5707673826 32865.1484375 20.7071610047 230.791058772 191.430085976 56513.2801924 yes yes -0.0725662164086 0.262577428824 2.88420724869 1.87525832653 0.206729546189
372278 1651056p 12.6039547396 2.50059475721 72887.6640625 19.82336492 210.180548297 189.660816858 56535.5474691 yes yes -0.137062587174 0.0588740291958 3.4573662281 2.28426933289 0.0938630029559
372278 1651067p 12.5978802421 2.50085545568 84237.3125 19.6632387432 202.657617788 189.789287037 56535.5912994 yes yes -0.168871615603 0.0203595352353 4.13920068741 3.02187132835 -0.0356793478131
372278 1651068p 12.5971948831 2.50088904487 86185.71875 19.6524117305 201.456195623 189.854642364 56535.5960647 yes yes -0.101579220395 -0.00056153276109 4.03536605835 3.28573775291 0.0580858774483
372278 1651069p 12.5965012107 2.50091564631 84835.5546875 19.6815552406 201.246057018 190.028028669 56535.6011941 yes yes -0.154358374633 0.00367328925357 4.16930294037 3.67083668709 0.0757568255067
372278 1651070p 12.5958440156 2.50094054301 86654.7109375 19.6395195553 200.645538678 189.377671756 56535.6059601 yes yes -0.188456197355 0.0140451728983 4.0982465744 3.14991474152 0.0301411189139
372278 1651071p 12.5951421389 2.50095738659 89235.8515625 19.625651569 199.044643305 190.287591954 56535.6109036 yes yes -0.0616998851882 0.0534082906269 4.31330442429 3.43443226814 0.17957174778
372278 1651166p 12.4869503767 2.50521144516 98025.4453125 19.5216529402 226.945950573 190.080634156 56536.4332539 yes yes -0.121356121862 0.0387974102669 3.20768976212 1.68510329723 0.0586557537317
372278 1651176p 12.4813548128 2.50539280705 86807.84375 19.6606025781 220.462131591 189.72006718 56536.4722199 yes yes -0.077326200099 -0.0141053795044 3.28721785545 1.90151560307 0.0145957171917
372278 1651843p 11.9028779172 2.51028010757 73585.453125 19.7640200787 222.686334155 191.050952346 56540.4127576 yes yes -0.160501817194 -0.00838723913521 3.54993844032 1.80743134022 0.000952799222432
372278 1651853p 11.8964720451 2.51022081545 48100.7617188 20.2596201153 217.931617328 190.874150412 56540.4515639 yes yes -0.199362500697 -0.0949356112379 3.74465537071 2.36325883865 -0.0885991826653
376328 1667733p 15.2973764116 5.37997043778 9988.37597656 21.9512627964 198.67163631 195.293237654 56596.2527968 yes yes -0.605081729572 0.206424005367 2.91748118401 1.26338601112 -0.159251764417
376328 1667744p 15.2899332164 5.37860889896 8590.13671875 22.1059998099 202.450699287 194.680716678 56596.295781 yes yes -0.659579056025 0.207963730866 3.02861714363 0.889542043209 -0.197514683008
376328 1667864p 15.1251974523 5.34759668573 12758.9208984 21.7454651376 597.856684886 586.46472454 56597.279533 yes yes -0.560828117828 0.251931356832 3.13043999672 1.25768530369 -0.158921867609
376328 1668257p 14.4596626695 5.22888786845 10719.6152344 21.8595520069 356.005197788 390.811639948 56601.4455169 yes yes -0.135610347802 -0.0963264100164 3.14347815514 1.34167993069 -0.174076586962
