111753	1774672p	10.8272083333	2.05505555556	11.3338034924	857.971845486	10.9546161562
# edge case, off CCD
159176	1667550p	19.0632083333	12.4533888889	905.271100595	431.339927222	6.81524954547
# in saturated core of star
159176	1667560p	19.055375	12.4390277778	728.041594624	154.802564373	6.82417927917
# no clue why reports no object around
204248	1672758p	12.9135416667	2.10341666667	931.935924909	651.720222686	5.02086249884
# off the CCD
204248	1672759p	12.9135	2.10455555556	932.712031683	673.946820247	5.02002573583
# off the CCD
204248	1672780p	12.913125	2.11691666667	943.782979142	891.539113945	5.01618082819
# off the CCD
204248	1672810p	12.9128333333	2.12916666667	955.471422887	892.600676268	5.01302049476
# off the CCD
283374	1769004p	11.3590833333	2.51061111111	121.125197597	856.172844833	4.53417612767
# too dim to be resolved from psf of very bright star close by
283374	1778891p	21.4422916667	12.9149444444	807.409280404	903.068178236	6.50261469582
# not sure why not picked up, maybe slightly too dim?

